height,weight,age,male,Gender
144.145,37.194544,27,0,Female
129.54,23.586784,13,1,Male
151.13,43.9700745,26,1,Male
161.29,52.219779,31,1,Male
146.685,36.0889135,62,0,Female
142.875,34.246196,31,0,Female
121.92,23.2182405,8,1,Male
154.94,43.3463855,46,0,Female
167.005,47.173568,30,1,Male
146.05,34.189497,23,0,Female
154.305,47.853956,34,0,Female
81.28,11.509897,1,1,Male
165.989,48.647742,27,1,Male
158.115,43.09124,17,1,Male
123.825,21.205426,10,1,Male
99.695,16.2442635,5,0,Female
100.965,13.7495075,4,1,Male
160.9598,43.204638,29,1,Male
157.48,41.3052215,17,1,Male
152.7048,46.606578,33,0,Female
147.955,44.735511,16,0,Female
85.09,12.360382,1,1,Male
158.115,43.147939,63,1,Male
154.305,50.2069645,68,0,Female
97.155,17.066399,7,0,Female
148.59,42.52425,35,0,Female
100.965,14.3164975,5,1,Male
170.815,58.456669,28,1,Male
156.21,44.0267735,33,0,Female
127,24.4089195,15,0,Female
145.415,39.3774555,42,0,Female
161.925,41.730464,29,1,Male
100.076,15.081934,6,1,Male
138.43,39.0939605,23,0,Female
140.0048,28.3495,15,0,Female
97.79,13.267566,5,0,Female
114.3,19.050864,7,1,Male
93.345,14.004653,3,0,Female
139.065,33.5941575,68,0,Female
149.225,40.3980375,53,0,Female
154.94,43.3463855,46,0,Female
92.71,12.076887,5,0,Female
147.955,42.751046,56,0,Female
151.765,34.7848365,21.5,0,Female
100.076,15.081934,6,1,Male
62.865,7.200773,0,1,Male
160.655,55.3665735,45,1,Male
147.32,40.8516295,64,0,Female
168.91,56.4438545,38,1,Male
172.9994,51.255896,38,1,Male
153.67,44.565414,54,0,Female
150.1648,41.95726,22,0,Female
144.145,33.906002,34,0,Female
88.9,11.5949455,3,1,Male
114.935,17.519991,7,1,Male
124.9934,25.117657,13,1,Male
125.095,22.5945515,12,0,Female
148.2852,38.441922,39,0,Female
149.86,38.668718,57,0,Female
157.48,50.178615,42,1,Male
164.465,45.8978405,50,1,Male
96.52,13.267566,3,0,Female
145.415,41.276872,51,0,Female
144.145,34.246196,64.5,0,Female
166.37,48.987936,41,1,Male
84.455,11.7650425,1,1,Male
116.84,19.391058,8,0,Female
142.875,34.246196,31,0,Female
154.94,47.2019175,22,0,Female
123.19,20.808533,8,1,Male
144.78,32.545226,15,0,Female
153.035,32.205032,79,0,Female
114.3,20.4966885,10,0,Female
129.54,21.999212,12,0,Female
150.495,40.483086,68,0,Female
157.48,44.6504625,18,1,Male
113.665,16.782904,5,1,Male
100.965,14.401546,5,1,Male
127,22.0105518,13,1,Male
144.78,36.0322145,73,0,Female
121.92,19.787951,8,0,Female
146.685,46.549879,62,0,Female
121.92,19.787951,8,0,Female
154.94,44.111822,44,1,Male
160.655,53.637254,44,1,Male
156.845,53.0419145,41,1,Male
161.925,41.730464,29,1,Male
145.415,42.410852,52,0,Female
142.875,32.205032,17,0,Female
153.67,48.307548,38,1,Male
162.56,43.204638,62,1,Male
151.13,41.220173,66,1,Male
146.05,37.5063885,53,0,Female
114.3,20.4966885,10,0,Female
152.4,39.292407,49,0,Female
118.745,18.824068,9,0,Female
153.035,32.205032,79,0,Female
147.955,42.751046,56,0,Female
163.83,54.2892925,44,1,Male
149.86,42.410852,35,0,Female
113.665,16.782904,5,1,Male
109.22,11.7083435,2,0,Female
111.76,17.8318355,8.90000000000009,1,Male
161.925,50.2636635,38,1,Male
88.265,12.7856245,2,0,Female
152.4,36.4858065,79.3,1,Male
60.452,5.6699,1,1,Male
155.575,42.0990075,26,0,Female
147.955,40.312989,29,1,Male
124.46,18.257078,12,0,Female
144.78,38.045029,29,0,Female
157.48,44.565414,33,1,Male
100.965,13.7495075,4,1,Male
147.32,40.8516295,64,0,Female
159.4,44.4,54,1,Male
66.04,7.5693165,1,1,Male
160.02,44.622113,68,1,Male
149.9,47.7,20,0,Female
160.9852,50.972401,48,1,Male
121.92,19.617854,12,1,Male
141.605,29.313383,15,1,Male
147.32,39.12231,42,0,Female
154.9,38.2,20,1,Male
168.275,56.0469615,21,1,Male
151.13,42.2691045,48,0,Female
171.45,56.5572525,52,1,Male
78.105,8.221355,3,0,Female
151.13,42.2691045,48,0,Female
90.17,12.700576,3,1,Male
148.59,40.766581,44,1,Male
161.3,43.3,20,1,Male
149.86,38.045029,22,0,Female
145.415,34.246196,14,0,Female
154.94,45.2174525,28,1,Male
97.155,17.066399,7,0,Female
168.91,56.4438545,38,1,Male
159.385,49.044635,29,1,Male
147.955,39.3774555,30,0,Female
144.78,42.2691045,54,0,Female
123.825,21.205426,10,1,Male
151.13,41.220173,66,1,Male
144.145,38.9238635,64,0,Female
151.9428,43.714929,21,1,Male
148.59,37.9032815,45,0,Female
139.065,33.5941575,68,0,Female
154.94,43.8566765,41,0,Female
155.575,39.7176495,74,1,Male
96.52,13.097469,5,1,Male
167.005,57.0675435,38,1,Male
146.05,37.5063885,24,0,Female
147.32,35.550273,66,0,Female
130.6068,25.2594045,15,0,Female
149.225,42.240755,45,0,Female
139.7,26.5634815,15,1,Male
138.43,39.0939605,23,0,Female
164.465,53.183662,41,1,Male
162.56,45.9545395,35,1,Male
91.44,12.530479,4,1,Male
161.925,53.2120115,55,0,Female
93.345,14.004653,3,0,Female
76.835,8.0229085,1,1,Male
147.32,40.312989,16,1,Male
67.945,7.2291225,1,0,Female
163.195,51.0291,39,1,Male
93.98,13.834556,4,0,Female
111.125,18.313777,6,0,Female
152.4,43.0628905,29,0,Female
151.765,42.864444,49,1,Male
136.525,36.28736,79,0,Female
160.02,45.9545395,57,1,Male
172.72,61.80191,22,1,Male
111.125,18.313777,6,0,Female
150.495,49.8100715,50,0,Female
153.67,44.8205595,18,0,Female
154.305,47.62716,25,0,Female
67.945,7.2291225,1,0,Female
170.18,47.5988105,58,1,Male
149.86,37.931631,46,0,Female
121.92,19.617854,12,1,Male
156.845,47.62716,31,1,Male
168.275,54.6,41,1,Male
157.48,41.3052215,17,1,Male
144.78,28.803092,17,0,Female
162.56,48.1091015,50,1,Male
146.05,42.807745,23,0,Female
144.78,32.545226,15,0,Female
157.988,48.591043,28,1,Male
161.29,49.3564795,21,1,Male
160.655,39.7743485,65,1,Male
152.4,46.719976,44,0,Female
137.795,27.5840635,12,0,Female
159.385,45.019006,51,1,Male
157.48,40.029494,72,1,Male
160.02,59.5622995,24,1,Male
157.48,47.9390045,62,1,Male
142.875,38.838815,27,0,Female
148.59,43.885026,33,0,Female
123.19,20.014747,12,1,Male
147.955,32.488527,12,1,Male
157.48,50.178615,42,1,Male
154.94,42.240755,26,1,Male
158.4198,47.286966,24,0,Female
167.64,50.688906,57,1,Male
111.125,16.669506,8,0,Female
158.115,39.235708,35,1,Male
147.32,35.0683315,36,0,Female
101.6,13.494362,4,0,Female
158.75,52.1914295,81.75,1,Male
153.035,39.972795,49.5,0,Female
56.515,5.159609,0,0,Female
142.875,37.3362915,39,0,Female
160.655,47.8823055,41,1,Male
118.11,16.896302,7,0,Female
153.67,44.22522,26,0,Female
120.015,20.128145,13,0,Female
137.16,27.328918,17,1,Male
137.16,27.952607,16,0,Female
159.385,50.689,45,1,Male
146.4,35.493574,56,1,Male
163.83,46.719976,58,1,Male
114.3,17.860185,11,1,Male
162.56,45.699394,55,1,Male
140.0048,28.3495,15,0,Female
147.955,36.4858065,64,0,Female
56.515,5.159609,0,0,Female
76.835,8.0229085,1,1,Male
114.3,18.3421265,7,1,Male
154.94,39.9444455,33,0,Female
145.415,45.642695,23,0,Female
147.32,36.8826995,22,0,Female
142.875,32.998818,40,0,Female
158.4198,47.286966,24,0,Female
152.4,41.163474,77,1,Male
113.03,19.050864,9,1,Male
55.88,4.8477645,0,0,Female
142.875,34.416293,57,0,Female
160.655,47.8823055,24,1,Male
161.925,56.9541455,38.7,1,Male
149.86,38.668718,57,0,Female
146.4,35.493574,56,1,Male
103.505,12.757275,6,0,Female
165.1,54.487739,54,1,Male
147.32,36.8826995,22,0,Female
172.72,61.80191,22,1,Male
87.63,10.659412,6,0,Female
161.29,48.987936,39,1,Male
168.275,56.0469615,21,1,Male
154.94,39.179009,16,1,Male
154.94,48.2224995,26,0,Female
165.735,57.549485,51,1,Male
83.82,10.9145575,3,1,Male
167.005,52.900167,32,1,Male
157.48,45.132404,24.2,0,Female
124.46,19.27766,12,0,Female
152.4,41.163474,77,1,Male
154.94,46.209685,31,0,Female
160.7,46.3,31,1,Male
161.29,41.8722115,24,1,Male
64.135,6.6621325,1,0,Female
160.02,47.230267,44,1,Male
111.76,17.8318355,8.90000000000009,1,Male
148.59,37.5630875,36,0,Female
123.19,20.014747,12,1,Male
160.655,54.8562825,29,1,Male
97.9932,13.2959155,5,1,Male
60.96,6.23689,0,1,Male
147.32,35.0683315,36,0,Female
144.145,39.4341545,34,0,Female
146.05,39.405805,37.4,0,Female
74.295,8.3064035,1,0,Female
142.24,28.632995,16,0,Female
125.73,22.6796,16,0,Female
163.195,48.5626935,36,1,Male
162.56,45.9545395,35,1,Male
148.59,32.4601775,16,0,Female
155.575,51.482692,24,0,Female
153.67,40.5114355,73.9000000000001,0,Female
145.415,42.52425,53,0,Female
152.4,44.678812,38,0,Female
139.7,50.348712,38,1,Male
149.86,42.977842,29,0,Female
161.29,47.853956,35,1,Male
156.21,44.338618,29,0,Female
155.575,45.529297,21,0,Female
90.805,11.623295,3,0,Female
167.005,55.1964765,42,1,Male
132.08,22.792998,11,1,Male
146.05,29.596878,12,0,Female
120.65,20.8935815,11,1,Male
148.59,37.9032815,45,0,Female
154.305,41.276872,25,0,Female
149.86,39.008912,18,0,Female
101.6,14.344847,5,0,Female
129.54,24.550667,13,1,Male
165.989,48.647742,27,1,Male
140.97,40.936678,85.5999999999999,0,Female
151.765,44.338618,41,0,Female
127.635,24.4089195,9,1,Male
149.225,40.82328,52,0,Female
152.4,40.879979,27,0,Female
143.51,31.071052,18,0,Female
157.988,48.591043,28,1,Male
164.465,45.8978405,50,1,Male
160.02,37.081146,75.9000000000001,1,Male
69.85,7.7961125,1,0,Female
147.955,41.276872,17,0,Female
62.23,7.257472,0,0,Female
119.38,21.5172705,7,1,Male
151.13,43.4030845,58,0,Female
165.989,56.415505,25,1,Male
148.59,42.52425,35,0,Female
86.36,11.4815475,7.59999999999991,1,Male
129.54,25.627948,14,0,Female
88.9,12.5588285,3,1,Male
69.85,7.314171,0,0,Female
148.59,40.766581,44,1,Male
160.655,54.8562825,29,1,Male
154.94,45.2174525,28,1,Male
110.49,15.422128,9,0,Female
109.22,11.7083435,2,0,Female
101.6,13.494362,4,0,Female
156.21,44.111822,21,0,Female
154.9,38.2,20,1,Male
143.51,31.071052,18,0,Female
158.75,48.6760915,28,1,Male
121.92,20.184844,10,0,Female
149.86,40.936678,43,0,Female
160.02,51.9646335,38,1,Male
91.44,11.7083435,3,0,Female
156.21,44.338618,29,0,Female
158.75,51.482692,59,1,Male
158.115,39.235708,35,1,Male
143.51,38.55532,43,0,Female
179.07,55.7067675,23,1,Male
153.67,35.5219235,23,0,Female
149.225,38.1300775,17,1,Male
160.02,59.5622995,24,1,Male
150.495,43.4597835,27,0,Female
118.11,16.896302,7,0,Female
152.4,43.0628905,29,0,Female
91.44,12.927372,6,0,Female
147.955,41.900561,17,0,Female
88.9,12.5588285,3,1,Male
154.94,47.2019175,22,0,Female
161.925,55.111428,30,1,Male
161.925,55.111428,30,1,Male
170.18,53.637254,34,1,Male
152.4,43.8566765,33,1,Male
146.685,36.0889135,62,0,Female
167.005,56.755699,50,1,Male
153.035,49.5832755,46,0,Female
62.484,6.80388,1,0,Female
147.955,47.400364,36,0,Female
146.05,39.405805,37.4,0,Female
156.21,39.292407,26,1,Male
160.655,55.3665735,45,1,Male
139.7,50.348712,38,1,Male
154.305,41.276872,25,0,Female
102.235,13.1258185,6,0,Female
160.9598,43.204638,29,1,Male
158.115,45.2174525,43,1,Male
144.78,43.998424,46,0,Female
114.3,18.3421265,7,1,Male
143.51,34.8415355,16,1,Male
121.92,23.2182405,8,1,Male
78.105,8.221355,3,0,Female
152.4,51.255896,34,0,Female
99.695,16.2442635,5,0,Female
142.24,31.6663915,36,0,Female
66.675,8.1363065,0,0,Female
145.415,42.410852,52,0,Female
130.6068,25.2594045,15,0,Female
114.3,18.14368,8,1,Male
154.94,49.6966735,26,1,Male
163.83,46.776675,21,1,Male
84.455,9.3836845,2,1,Male
141.605,36.2023115,30,0,Female
168.275,54.6,41,1,Male
137.16,27.952607,16,0,Female
90.805,11.3681495,5,0,Female
163.195,48.137451,67,1,Male
159.385,48.8461885,32,1,Male
104.14,15.87572,6,0,Female
132.715,24.777463,13,0,Female
110.49,15.422128,9,0,Female
160.655,54.090846,26,1,Male
151.13,38.498621,41,0,Female
69.85,7.7961125,1,0,Female
107.95,17.57669,6,1,Male
152.4,43.544832,63,0,Female
147.32,35.947166,40,0,Female
158.115,47.4854125,45,1,Male
106.68,15.989118,8,0,Female
161.29,50.4337605,41,1,Male
142.24,28.632995,16,0,Female
154.94,48.477645,30,1,Male
151.13,46.1246365,35,0,Female
159.385,47.2019175,28,1,Male
149.225,38.2434755,32,0,Female
103.505,12.757275,6,0,Female
170.815,58.456669,28,1,Male
121.92,20.41164,8,1,Male
168.91,55.4799715,27,1,Male
67.945,7.824462,0,1,Male
160.02,49.271431,23,1,Male
104.14,15.87572,6,0,Female
162.8648,49.384829,24,1,Male
171.1198,56.5572525,37,1,Male
96.52,14.968536,2,0,Female
66.04,7.5693165,1,1,Male
147.955,34.869885,19,0,Female
90.805,11.3681495,5,0,Female
146.05,38.498621,35,0,Female
152.4,45.1607535,38,0,Female
160.02,49.271431,23,1,Male
152.4,43.544832,63,0,Female
146.05,37.5063885,24,0,Female
159.385,42.977842,43,1,Male
144.78,28.803092,17,0,Female
101.6,15.3370795,5,0,Female
170.18,53.637254,34,1,Male
149.86,37.931631,46,0,Female
142.875,35.5786225,32,0,Female
156.21,45.6,43,0,Female
160.02,47.230267,44,1,Male
152.4,40.879979,67,0,Female
160.655,47.8823055,41,1,Male
97.79,12.757275,5,0,Female
163.195,49.101334,43,1,Male
125.095,22.3677555,11,0,Female
157.48,47.9390045,62,1,Male
137.16,27.158821,12,1,Male
117.983,20.354941,8,1,Male
147.955,49.89512,19,0,Female
142.113,32.772022,22,0,Female
157.48,45.132404,24.2,0,Female
129.54,21.999212,12,0,Female
157.48,42.3258035,44,1,Male
156.21,39.292407,26,1,Male
123.825,21.54562,11,1,Male
80.01,9.865626,1,1,Male
144.78,43.998424,46,0,Female
154.94,49.6966735,26,1,Male
163.83,55.394923,43,1,Male
89.535,11.113004,3,1,Male
150.495,35.947166,69,0,Female
141.605,36.2023115,30,0,Female
152.4,40.879979,67,0,Female
106.045,16.272613,6,1,Male
81.915,11.8784405,2,1,Male
88.265,12.7856245,2,0,Female
127.9906,29.8520235,13,1,Male
163.83,47.4854125,35,1,Male
129.54,25.627948,14,0,Female
156.21,54.0624965,21,0,Female
151.765,42.864444,49,1,Male
85.09,11.453198,3,1,Male
114.3,19.4194075,8,0,Female
162.56,49.5549,19,1,Male
89.2048,12.700576,3,0,Female
121.92,20.184844,10,0,Female
151.765,47.8256065,63,1,Male
74.295,9.752228,1,1,Male
167.005,56.755699,50,1,Male
142.875,35.606972,42,0,Female
149.225,42.127357,18,0,Female
152.7048,46.606578,33,0,Female
91.44,11.623295,4,0,Female
147.32,48.9595865,25,0,Female
62.484,6.80388,1,0,Female
162.56,47.0318205,27,0,Female
162.56,48.1091015,50,1,Male
149.86,42.977842,29,0,Female
83.82,9.2135875,1,0,Female
149.225,42.1557065,27,0,Female
150.495,49.8100715,50,0,Female
142.875,35.5786225,32,0,Female
135.89,27.21552,15,0,Female
96.52,14.968536,2,0,Female
151.765,48.024053,50,0,Female
149.225,35.8054185,82,1,Male
154.305,45.756093,44,0,Female
164.465,52.16308,71,1,Male
83.82,10.9145575,3,1,Male
154.94,48.477645,30,1,Male
120.015,20.128145,13,0,Female
161.29,47.853956,35,1,Male
149.86,38.2434755,48,0,Female
157.48,40.029494,72,1,Male
120.65,20.8935815,11,1,Male
154.94,43.8566765,41,0,Female
158.75,48.6760915,28,1,Male
105.41,15.2236815,5,0,Female
157.48,44.565414,33,1,Male
118.745,18.824068,9,0,Female
84.455,11.7650425,1,1,Male
154.94,45.4442485,31,1,Male
111.76,16.499409,6,1,Male
160.02,44.622113,68,1,Male
147.955,40.086193,38,0,Female
168.91,58.8252125,41,1,Male
161.29,48.19415,19,1,Male
154.305,46.776675,51,0,Female
106.045,15.478827,8,0,Female
154.305,49.89512,47,0,Female
92.71,12.076887,5,0,Female
162.56,52.16308,31,1,Male
160.655,47.4854125,54,1,Male
123.825,21.54562,11,1,Male
162.56,45.699394,55,1,Male
144.78,38.045029,29,0,Female
111.125,16.669506,8,0,Female
154.94,39.9444455,33,0,Female
123.19,20.808533,8,1,Male
67.945,7.9662095,1,0,Female
142.875,35.606972,42,0,Female
64.135,6.6621325,1,0,Female
114.3,19.050864,7,1,Male
144.78,33.45241,42,0,Female
132.715,24.9759095,15,1,Male
81.5848,10.659412,3,0,Female
114.3,18.14368,8,1,Male
148.2852,38.441922,39,0,Female
90.17,12.700576,3,1,Male
111.76,15.081934,9,1,Male
85.09,10.8011595,3,1,Male
127,21.488921,12,0,Female
145.415,42.52425,53,0,Female
153.67,41.333571,27,0,Female
167.005,47.173568,30,1,Male
150.495,35.947166,69,0,Female
